FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,X,Y
148,PVLY,PINE VALLEY NEIGHBORHOOD PARK, ,0,N,SHAMROCK,DR,CHARLOTTE,NC, ,NEIGHBORHOOD PARK,UNDEVELOPED,SOUTH,4.415,7045684044,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR,1439074.088,500887.4775
149,LIND,LINDA LAKE NEIGHBORHOOD PARK, ,0,S,BEAL,ST,CHARLOTTE, , ,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,9.977,7043651265,0,0,District 1,District 3,1899-12-30T00:00:00.000Z,BLACKSR,1484587.979,548752.5383
150,COPP,COPPERHEAD ISLAND,15200 SOLDIER RD,15200,E,STERLING,RD,CHARLOTTE,NC,28278,NATURE PRESERVE,DEVELOPED,SOUTH,11.212,7043726261,0,0,District 4,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1394440.26,501026.6419
151,ELZA,ELIZABETH NEIGHBORHOOD PARK,1100 E TRADE ST,1100,S,HERRIN,DR,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.50033,7043363367,0,0,District 1,District 4,1899-12-30T00:00:00.000Z,BLACKSR,1452640.746,539523.4959
152,MIDT,MIDTOWN NEIGHBORHOOD PARK,S KINGS DR,0,N,STATESVILLE,DR,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,1.87,7043368866,0,0,District 1,District 4,1899-12-30T00:00:00.000Z,BLACKSR,1451659.147,536784.9491
153,CORP,CORDELIA COMMUNITY PARK,2100 N DAVIDSON ST,2100,S,NEWELL BAPTIST CHURCH,ST,CHARLOTTE,NC,28205,COMMUNITY PARK,DEVELOPED,CENTRAL,20.894,7043368866,0,0,District 1,District 3,1998-08-12T00:00:00.000Z,BLACKSR,1457990.582,546282.8773
154,KING,KINGSTON NEIGHBORHOOD PARK,S TRYON ST,0,E,9TH,RD,CHARLOTTE,NC,28203,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,0.84345,7043363367,0,0,District 3,District 2,1899-12-30T00:00:00.000Z,BLACKSR,1444332.626,538160.8159
155,COUL,COULWOOD COMMUNITY PARK,100 COULWOOD PARK DR,100,S,OLD STATESVILLE,AV,CHARLOTTE,NC,28214,COMMUNITY PARK,DEVELOPED,NORTH,24.573,7048969808,0,0,District 2,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1421296.362,571867.1364
156,HIDD,HIDDEN VALLEY NEIGHBORHOOD PARK,NORTHCHASE DR,0,N,CRAIG,RD,CHARLOTTE,NC,28213,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,18.36901,7046433405,0,0,District 4,District 3,1899-12-30T00:00:00.000Z,BLACKSR,1469748.13,555419.6108
157,BERE,BEREWICK CENTER,5910 DIXIE RIVER RD,5910,E,NO ADDRESS,RD,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,SOUTH,0,7045684044,0,0,District 1,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1408501.976,523887.9669
158,COWW,COWANS FORD WILDLIFE REFUGE,NECK RD,0,E,TYVOLA,RD,HUNTERSVILLE,NC,28078,NATURE PRESERVE,DEVELOPED,NORTH,660.1,7043651265,0,0,District 3,District 1,1998-08-04T00:00:00.000Z,BLACKSR,1411765.583,596232.0576
159,BAIL,BAILEY RD NEIGHBORHOOD PARK,BAILEY RD,0,S,KINGS,DR,CORNELIUS,NC,28031,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,10.32483,7043726261,0,0,District 3,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1453941.961,629962.0336
160,NMRC,NORTH MECKLENBURG RECREATION CENTER,OLD STATESVILLE RD,0,S,WILHELMINA,ST,CORNELIUS,NC,28031,RECREATION CENTER,UNDEVELOPED,NORTH,41.3987,7043363367,0,0,District 3,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1451180.126,626764.8159
161,CRAP,CAROLINA RAPTOR CENTER,6000 SAMPLE RD,6000,W,JOHNSTON OEHLER,RD,HUNTERSVILLE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,0,7043368866,0,0,District 2,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1428409.747,588306.1456
162,MTLD,MOUNTAIN ISLAND NEIGHBORHOOD PARK,11840 MOUNTAIN ISLAND BROOK LN,0,E,JOHNSTON OEHLER,DR,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,4.64132,7043368866,0,0,District 2,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1412864.096,587349.7959
163,MRND,MIRANDA NATURE PRESERVE,MIRANDA RD,0,S,RAVENCROFT,DR,CHARLOTTE,NC,28216,NATURE PRESERVE,UNDEVELOPED,NORTH,62.41462,7043363367,0,0,District 2,District 2,1998-08-12T00:00:00.000Z,BLACKSR,1438355.381,581697.0666
164,MCTO,MCILWAINE REGIONAL PARK,MCILWAINE RD,0,W,BAXTER,ST,HUNTERSVILLE,NC,28078,REGIONAL PARK,UNDEVELOPED,NORTH,137.70743,7048969808,0,0,District 3,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1434385.496,603436.3759
165,CROS,CROSSRIDGE ROAD NEIGHBORHOOD PARK,CROSSRIDGE RD,0,S,MONROE,RD,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,7.97,7046433405,0,0,District 2,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1419429.849,556645.6972
166,ALLE,ALLEGHANY ST NEIGHBORHOOD PARK,ALLEGHANY ST,0,N,SHAMROCK,AV,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,5.42143,7045684044,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR,1432291.876,547055.8159
167,FIRST,FIRST WARD NEIGHBORHOOD PARK,N CALDWELL ST,0,S,SHAMROCK,RD,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,2.04051,7043651265,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1452240.642,542657.08
168,CTMY,C.T. MYERS GOLF COURSE,7817 HARRISBURG RD,7817,W,BEAL,RD,CHARLOTTE,NC,28215,GOLF COURSE,DEVELOPED,SOUTH,304.449,7043726261,0,0,District 4,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1496522.815,539883.1997
169,MATM,MATTHEWS-MINT HILL REGIONAL PARK,MATTHEWS-MINT HILL RD,0,E,STERLING,RD,MATTHEWS,NC,28105,REGIONAL PARK,UNDEVELOPED,SOUTH,93.15935,7043363367,0,0,District 1,District 6,1899-12-30T00:00:00.000Z,BLACKSR,1496506.508,507596.2915
170,CADI,CADILLAC GOLF DRIVING RANGE,10401 CADILLAC ST,0,S,HERRIN,DR,PINEVILLE,NC,28134,GOLF COURSE,DEVELOPED,SOUTH,26.95105,7043368866,0,0,District 3,District 6,1998-08-12T00:00:00.000Z,BLACKSR,1437564.629,495633.6694
171,DAVS,CLARK'S CREEK NATURE PRESERVE,5542 HUCKS RD,0,N,STATESVILLE,ST,CHARLOTTE,NC,28269,NATURE PRESERVE,UNDEVELOPED,NORTH,98.529,7043368866,0,0,District 3,District 1,1899-12-30T00:00:00.000Z,BLACKSR,1460538.424,587342.425
172,MLKR,MARTIN LUTHER KING JR. RECREATION CENTER,500 BILMARK AV,0,S,NEWELL BAPTIST CHURCH,RD,CHARLOTTE,NC, ,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043363367,0,0,District 3,District 3,1899-12-30T00:00:00.000Z,BLACKSR,1469136.261,555546.3517
173,MORC,MERRY OAKS RECREATION CENTER,3508 DRAPER AV,0,E,9TH,DR,CHARLOTTE,NC,28205,RECREATION CENTER,DEVELOPED,CENTRAL,0,7048969808,0,0,District 2,District 4,1899-12-30T00:00:00.000Z,BLACKSR,1467637.433,539850.9366
174,DBLP,DOUBLE OAKS NEIGHBORHOOD PARK,2605  DOUBLE OAKS RD,2605,S,TYVOLA,DR,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,15.116,7046433405,0,0,District 2,District 2,2008-05-14T00:00:00.000Z,BLACKSR,1451262.341,553450.41
175,TMRC,THOMASBORO SCHOOL RECREATION CENTER,538 BRADFORD DR,0,N,KINGS,ST,CHARLOTTE,NC, ,RECREATION CENTER,DEVELOPED,CENTRAL,0,7045684044,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR,1433242.129,553259.8003
176,WPRC,WALLACE PRUITT RECREATION CENTER,440 TUCKASEEGEE RD,0,S,WILHELMINA,RD,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043651265,0,0,District 3,District 2,1899-12-30T00:00:00.000Z,BLACKSR,1443186.624,547067.1231
177,WGRC,WINGET RECREATION CENTER,12235 WINGET RD,0,E,JOHNSTON OEHLER,AV,CHARLOTTE,NC,28278,RECREATION CENTER,DEVELOPED,SOUTH,0,7043726261,0,0,District 2,District 2,1899-12-30T00:00:00.000Z,BLACKSR,1401786.159,508756.627
178,DBOP,DOUBLE OAKS POOL,1200 NEWLAND RD,1200,S,JOHNSTON OEHLER,RD,CHARLOTTE,NC,28206,POOL,DEVELOPED,CENTRAL,2.19,7043363367,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1451653.28,553723.552
179,DBWF,DAVID B. WAYMER FLYING REGIONAL PARK,15401 HOLBROOKS RD,15401,N,RAVENCROFT,RD,HUNTERSVILLE,NC,28078,REGIONAL PARK,DEVELOPED,NORTH,102.68,7043368866,0,0,District 1,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1458731.003,606000.1598
180,DBWP,DAVID B. WAYMER COMMUNITY PARK,302 HOLBROOKS RD,302,E,BAXTER,RD,HUNTERSVILLE,NC,28078,COMMUNITY PARK,DEVELOPED,NORTH,20.365,7043368866,0,0,District 4,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1453028.256,605262.428
181,DEVS,DEVONSHIRE NEIGHBORHOOD PARK,6330 BARRINGTON DR,6330,E,MONROE,DR,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,NORTH,1.484,7043363367,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1478858.015,549509.8141
182,DOWD,DOWD HOUSE HISTORIC SITE,2216 MONUMENT ST,2216,S,SHAMROCK,ST,CHARLOTTE,NC,28208,SPECIAL FACILITY,DEVELOPED,CENTRAL,1.252,7048969808,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1437964.375,542284.7898
183,DRTA,DERITA COMMUNITY PARK,3509 FREW RD,3509,S,SHAMROCK,RD,CHARLOTTE,NC,28206,COMMUNITY PARK,DEVELOPED,NORTH,23.387,7046433405,0,0,District 1,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1460886.467,554025.0391
184,DRUC,DRUID HILLS CENTER,2801 LUCENA ST,2801,W,BEAL,ST,CHARLOTTE,NC,28206,RECREATION CENTER,DEVELOPED,CENTRAL,0,7046433405,0,0,District 4,District 3,2004-03-18T00:00:00.000Z,BLACKSR,1455307.477,553405.298
185,DRUD,DRUID HILLS NEIGHBORHOOD PARK,2801 POINSETT ST,2801,E,STERLING,ST,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,6.922,7043362884,0,0,District 4,District 3,1998-10-07T00:00:00.000Z,BLACKSR,1453206.057,554045.7888
186,EALD,EAGLES LANDING NEIGHBORHOOD PARK,EAGLES LANDING DR,0,S,HERRIN,RD,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,7.487,7045684044,0,0,District 2,District 2,2003-07-11T00:00:00.000Z,BLACKSR,1425159.716,559031.7724
187,EASP,EASTWAY COMMUNITY PARK,423 EASTWAY DR,423,W,STATESVILLE,DR,CHARLOTTE,NC,28215,COMMUNITY PARK,DEVELOPED,NORTH,90.547,7043651265,0,0,District 1,District 3,2003-07-11T00:00:00.000Z,BLACKSR,1468626.329,551824.029
188,EAST,EASTOVER NEIGHBORHOOD PARK,2730 RANDOLPH RD,2730,S,NEWELL BAPTIST CHURCH,ST,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.419,7043726261,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1458395.69,532584.0828
189,EBMP,EB MOORE NEIGHBORHOOD PARK,901 MARSH RD,901,N,9TH,RD,CHARLOTTE,NC,28209,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,4.017,7043363367,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1444753.845,528449.9938
190,EDGE,EDGEHILL NEIGHBORHOOD PARK,812 S EDGEHILL RD,812,S,OLD STATESVILLE,DR,CHARLOTTE,NC,28207,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,5.375,7043368866,0,0,District 1,District 5,1998-07-28T00:00:00.000Z,BLACKSR,1452643.795,533762.3756
191,ELNC,ELON CENTER,11401 ARDREY KELL RD,11401,W,CRAIG,DR,CHARLOTTE,NC,28277,RECREATION CENTER,DEVELOPED,SOUTH,10,7043368866,0,0,District 7,District 6,2008-01-16T00:00:00.000Z,BLACKSR,1447640.936,468327.2821
192,ENDC,BETTE RAE THOMAS CENTER,2921 TUCKASEEGEE RD,1220,E,NO ADDRESS,ST,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,CENTRAL,6.092,7043363367,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1439162.52,548110.6184
193,ENDP,ENDERLY NEIGHBORHOOD PARK,1501 ENDERLY RD,1501,S,ENDERLY,RD,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,8.476,7048969808,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1437471.946,547784.5067
194,EPDO,EAST DISTRICT PARK OFFICE,5715 MONROE RD,5715,N,MONROE,AV,CHARLOTTE,NC,28212,SPECIAL FACILITY,DEVELOPED,SOUTH,0,7046433405,0,0,District 5,District 4,2002-06-12T00:00:00.000Z,BLACKSR,1472227.869,527689.4073
195,ESTW,EVERGREEN NATURE PRESERVE,NORLAND RD,0,S,NO ADDRESS,RD,CHARLOTTE,NC,28205,NATURE PRESERVE,DEVELOPED,SOUTH,77.414,7045684044,0,0,District 5,District 4,1998-12-14T00:00:00.000Z,BLACKSR,1472239.162,534625.8124
196,EZEL,EZELL FARM COMMUNITY PARK,4130 WELL RD,0,E,NO ADDRESS,RD,MINT HILL,NC,28227,COMMUNITY PARK,UNDEVELOPED,SOUTH,87.834,7043651265,0,0,District 1,District 6,2003-07-11T00:00:00.000Z,BLACKSR,1499793.715,516043.9538
197,FIRE,FIREMANS HALL,2601 E 7TH ST,2601,S,7TH,DR,CHARLOTTE,NC,28204,SPECIAL FACILITY,DEVELOPED,CENTRAL,0,7043726261,0,0,District 3,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1459467.419,534837.1137
198,FIVE,FIVE POINTS NEIGHBORHOOD PARK,200 FRENCH ST,200,N,FRENCH,ST,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,9.246,7043363367,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1444767.37,550517.4028
199,FLTB,FLAT BRANCH COMMUNITY PARK,11830 TOM SHORT RD,0,S,NO ADDRESS,RD,CHARLOTTE,NC,28277,COMMUNITY PARK,DEVELOPED,SOUTH,54.225,7043368866,0,0,District 3,District 6,1998-10-06T00:00:00.000Z,BLACKSR,1463127.953,476577.2137
200,FOUR,FOURTH WARD NEIGHBORHOOD PARK,301 N POPLAR ST,301,E,POPLAR,DR,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,2.917,7043368866,0,0,District 2,District 3,2007-12-12T00:00:00.000Z,BLACKSR,1449884.995,544350.1492
201,FRAZ,FRAZIER NEIGHBORHOOD PARK,1200 W 4TH ST EXT,1201,S,4TH,DR,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,16.479,7043363367,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1445517.253,544997.5517
202,FRED,FRED ALEXANDER NEIGHBORHOOD PARK,739 E 12TH ST,739,N,12TH,ST,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,NORTH,6.044,7048969808,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1445158.69,562394.2855
203,FREE,FREEDOM REGIONAL PARK,2435 CUMBERLAND AV,2435,E,CUMBERLAND,RD,CHARLOTTE,NC,28203,REGIONAL PARK,DEVELOPED,CENTRAL,104.89,7046433405,0,0,District 3,District 5,2007-10-24T00:00:00.000Z,BLACKSR,1448885.715,529821.9295
204,FSPK,FIRESTONE COMMUNITY PARK,3501 FIRESTONE DR,3501,E,FIRESTONE,AV,CHARLOTTE,NC,28216,COMMUNITY PARK,DEVELOPED,NORTH,54.612,7043368096,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1441270.357,564949.7946
205,FSTW,FIRST WARD CENTER,610 E 7TH ST,610,S,7TH,RD,CHARLOTTE,NC,28202,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043363841,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1452040.366,541861.3594
206,GATE,ISWA NATURE PRESERVE,9701 WILKINSON BV,9701,S,WILKINSON,BV,CHARLOTTE,NC,28214,NATURE PRESERVE,DEVELOPED,SOUTH,99.574,7045831176,0,0,District 1,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1401439.182,549983.6157
207,GCNP,GAR CREEK NATURE PRESERVE,MCCOY RD,0,W,NO ADDRESS,RD,HUNTERSVILLE,NC,28078,NATURE PRESERVE,DEVELOPED,NORTH,353.157,7045684044,0,0,District 4,District 1,2002-05-13T00:00:00.000Z,BLACKSR,1437984.069,592017.1112
208,GRAY,GRAYSON NEIGHBORHOOD PARK,750 BEAL ST,750,E,BEAL,DR,CHARLOTTE,NC,28211,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,12.278,7043651265,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1463607.319,529167.6065
209,GRDY,GRADY COLE CENTER,310 N KINGS DR,310,S,KINGS,ST,CHARLOTTE,NC,28204,SPECIAL FACILITY,DEVELOPED,CENTRAL,0,7043726261,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1453591.578,539885.9243
210,GRHT,GRIER HEIGHTS NEIGHBORHOOD PARK,3110  LEROY ST,3110,W,LEROY,RD,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,5.468,7043363367,0,0,District 1,District 4,2007-07-16T00:00:00.000Z,BLACKSR,1459111.409,530888.416
211,GRNC,GREENVILLE CENTER,1330 SPRING ST,1330,S,SPRING,DR,CHARLOTTE,NC,28206,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043368866,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1450033.31,549320.7631
212,GRNP,GREENVILLE NEIGHBORHOOD PARK,1401 POLK ST,1401,N,POLK,DR,CHARLOTTE,NC,28206,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,16.506,7043368866,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1449998.403,548621.9436
213,H521,ELON HOMES REGIONAL PARK,11435 ARDREY KELL RD,11435,S,ARDREY KELL,ST,CHARLOTTE,NC,28277,REGIONAL PARK,DEVELOPED,SOUTH,118.094,7043363367,0,0,District 7,District 6,1998-10-06T00:00:00.000Z,BLACKSR,1447609.921,468306.2931
214,HACP,HARRISBURG ROAD REGIONAL PARK,8045 HARRISBURG RD,0,W,NO ADDRESS,RD,CHARLOTTE,NC,28215,REGIONAL PARK,DEVELOPED,SOUTH,106.622,7048969808,0,0,District 5,District 1,2002-04-03T00:00:00.000Z,BLACKSR,1496953.711,540752.304
215,HARP,HARRISBURG ROAD NEIGHBORHOOD PARK,7701 HARRISBURG RD,7701,E,HARRISBURG,AV,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,6.107,7046433405,0,0,District 5,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1496503.889,539833.9065
216,HAWC,HAWTHORNE CENTER,345 HAWTHORNE LN,345,S,HAWTHORNE,RD,CHARLOTTE,NC,28204,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043362008,0,0,District 1,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1455591.613,538276.6567
217,HAYP,HAYMARKET NATURE PRESERVE,11634 BROOKSHIRE BV,0,N,NO ADDRESS,RD,CHARLOTTE,NC,28214,NATURE PRESERVE,UNDEVELOPED,NORTH,100.376,7045684044,0,0,District 1,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1415200.687,584912.5716
218,HORN,HORNETS NEST REGIONAL PARK,6331 BEATTIES FORD RD,6331,S,BEATTIES FORD,DR,CHARLOTTE,NC,28216,REGIONAL PARK,DEVELOPED,NORTH,140.358,7043651265,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1443679.179,576640.0625
219,HORT,HORTICULTURAL MAINTENANCE FACILITY,11826 MALLARD CREEK RD,11826,E,MALLARD CREEK,ST,CHARLOTTE,NC,28269,SPECIAL FACILITY,DEVELOPED,NORTH,0,7043726261,0,0,District 3,District 1,1998-08-12T00:00:00.000Z,BLACKSR,1476402.923,589318.3838
220,HOSK,HOSKINS NEIGHBORHOOD PARK,3801 GOSSETT AV,3801,S,GOSSETT,RD,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,DEVELOPED,NORTH,15.763,7043363367,0,0,District 3,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1437463.883,554782.8835
221,HOWA,HOWIE ACRES NEIGHBORHOOD PARK,1001 TREMBETH DR,1001,N,TREMBETH,DR,CHARLOTTE,NC,28205,NEIGHBORHOOD PARK,DEVELOPED,NORTH,7.759,7043368866,0,0,District 2,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1467294.476,550544.5533
222,HUNT,HUNTINGTOWNE FARMS COMMUNITY PARK,2400 RAMBLEWOOD LN,2400,S,RAMBLEWOOD,DR,CHARLOTTE,NC,28210,COMMUNITY PARK,DEVELOPED,SOUTH,22.741,7043368866,0,0,District 2,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1443154.921,506783.4106
223,IDLE,IDLEWILD ROAD REGIONAL PARK,10512 IDLEWILD RD,10512,E,IDLEWILD,ST,MINT HILL,NC,28105,REGIONAL PARK,DEVELOPED,SOUTH,125.257,7043363367,0,0,District 2,District 6,1998-07-28T00:00:00.000Z,BLACKSR,1491924.957,519129.3077
224,INDP,INDEPENDENCE NEIGHBORHOOD PARK,300 HAWTHORNE LN,300,S,HAWTHORNE,RD,CHARLOTTE,NC,28204,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.821,7048969808,0,0,District 3,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1455673.936,538354.8284
225,INPP,INDEPENDENCE POINTE NEIGHBORHOOD PARK,INDEPENDENCE POINTE PY,0,N,NO ADDRESS,AV,MATTHEWS,NC,28105,NEIGHBORHOOD PARK,UNDEVELOPED,SOUTH,11.427,7046433405,0,0,District 2,District 6,2003-07-11T00:00:00.000Z,BLACKSR,1487684.492,507491.6013
226,MARM,MARMAC ROAD COMMUNITY PARK,TUCKASEEGEE RD,0,E,MALLARD CREEK,RD,CHARLOTTE,NC,28266,COMMUNITY PARK,UNDEVELOPED,NORTH,22.463,7045684044,0,0,District 2,District 2,2008-04-21T00:00:00.000Z,BLACKSR,1425065.211,549557.6427
227,IRWN,RAYS SPLASH PLANET,215 N SYCAMORE ST,215,E,SYCAMORE,ST,CHARLOTTE,NC,28202,RECREATION CENTER,DEVELOPED,CENTRAL,0,7043651265,0,0,District 1,District 3,1998-10-06T00:00:00.000Z,BLACKSR,1446985.92,546359.4411
228,JATC,JEFF ADAMS TENNIS CENTER,1200 W TYVOLA RD,1200,S,TYVOLA,RD,CHARLOTTE,NC,28217,SPECIAL FACILITY,DEVELOPED,SOUTH,0,7043726261,0,0,District 4,District 2,1998-07-28T00:00:00.000Z,BLACKSR,1430324.924,522928.3603
229,JBCP,JAMES BOYCE COMMUNITY PARK,300 BOYCE RD,300,S,BOYCE,RD,CHARLOTTE,NC,28211,COMMUNITY PARK,DEVELOPED,SOUTH,72.964,7043363367,0,0,District 6,District 5,1999-02-11T00:00:00.000Z,BLACKSR,1471214.044,513294.2349
230,JPLN,JETTON REGIONAL PARK,19000 JETTON RD,19000,W,JETTON,RD,CORNELIUS,NC,28078,REGIONAL PARK,DEVELOPED,NORTH,103.788,7043368866,0,0,District 1,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1434565.993,633650.8289
231,JUPK,JULIAN UNDERWOOD NEIGHBORHOOD PARK,5400 GALWAY DR,5400,E,GALWAY,DR,CHARLOTTE,NC,28215,NEIGHBORHOOD PARK,DEVELOPED,SOUTH,13.163,7043368866,0,0,District 3,District 3,1998-07-28T00:00:00.000Z,BLACKSR,1476146.301,548128.5217
232,KLBN,KILBORNE COMMUNITY PARK,2600 KILBORNE DR,2600,S,KILBORNE,DR,CHARLOTTE,NC,28205,COMMUNITY PARK,DEVELOPED,SOUTH,50.823,7043363367,0,0,District 3,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1471111.974,539884.2122
233,LATC,LATTA CENTER,510 EAST PARK AV,510,W,EAST PARK,AV,CHARLOTTE,NC,28203,RECREATION CENTER,DEVELOPED,CENTRAL,0,7048969808,0,0,District 3,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1446980.768,536582.7893
234,LATN,LATTA PLANTATION NATURE PRESERVE,5226 SAMPLE RD,5226,S,SAMPLE,RD,HUNTERSVILLE,NC,28216,NATURE PRESERVE,DEVELOPED,NORTH,1348.334,7046433405,0,0,District 2,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1431133.52,589991.009
235,LATP,LATTA COMMUNITY PARK,601 EAST PARK AV,601,N,EAST PARK,AV,CHARLOTTE,NC,28203,COMMUNITY PARK,DEVELOPED,CENTRAL,31.605,7043362884,0,0,District 2,District 4,1998-07-28T00:00:00.000Z,BLACKSR,1447160.203,536339.0379
236,LATT,LATTA PLACE HISTORIC SITE,5225 SAMPLE RD,5225,S,TYVOLA,RD,HUNTERSVILLE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,2.988,7048752312,0,0,District 2,District 1,1998-07-28T00:00:00.000Z,BLACKSR,1424849.789,589015.858
237,LCCP,L.C. COLEMAN NEIGHBORHOOD PARK,1501 MCDONALD ST,1501,W,KINGS,ST,CHARLOTTE,NC,28216,NEIGHBORHOOD PARK,DEVELOPED,CENTRAL,19.922,7043531165,0,0,District 3,District 2,1998-11-06T00:00:00.000Z,BLACKSR,1444327.015,554187.1161
238,DAVP,HUCKS ROAD COMMUNITY PARK,HUCKS RD,0,E,WILHELMINA,RD,CHARLOTTE,NC,28269,COMMUNITY PARK,UNDEVELOPED,NORTH,31.771,7045684044,0,0,District 2,District 1,2003-07-11T00:00:00.000Z,BLACKSR,1460268.103,587622.4485
